Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	2.955166
1	CPU Time	2.679991
1	Memory Bound	10.6
2	L1 Bound	10.1
2	L2 Bound	2.5
2	L3 Bound	6.5
2	DRAM Bound	10.0
3	DRAM Bandwidth Bound	0.0
2	Store Bound	0.1
1	Loads	3513405399
1	Stores	2058061740
1	LLC Miss Count	7000490
1	Average Latency (cycles)	10.533225
1	Total Thread Count	13
1	Paused Time	0.0
0	Bandwidth Utilization	
0	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
0	DRAM, GB/sec	17.000000	9.000000	2.006655	0.0
0	Top Tasks	
0	Task Type	Task Time	Task Count	Average Task Time
0	void __cdecl cv::utils::logging::LogTagManager::assign(const class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &,struct cv::utils::logging::LogTag *)	0.000020	1	0.000020
0	void __cdecl cv::ocl::setUseOpenCL(bool)	0.000010	1	0.000010
0	struct cv::utils::logging::LogTag *__cdecl cv::utils::logging::LogTagManager::get(const class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &)	0.000001	1	0.000001
0	Collection and Platform Info	
1	Application Command Line	python "ddpg.py" 
1	Operating System	Microsoft Windows 10
1	Computer Name	DESKTOP-NEBAMNN
1	Result Size	31496608
1	Collection start time	17:22:05 13/04/2025 UTC
1	Collection stop time	17:22:08 13/04/2025 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) microarchitecture code named Coffeelake
2	Frequency	3000010415
2	Logical CPU Count	8
2	Max DRAM Single-Package Bandwidth	17000000000.000000
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
